cba,9935597,9158,33,90
cbb,9683494,8322,72,240
cbc,9718893,9000,109,321
cbd,9902689,8791,15,90
cbe,9671298,8976,34,69
cbf,9803612,8708,46,109
cbg,9684978,10035,16,51
cca,9952959,8837,122,260
ccb,9941667,10434,78,273
ccc,9863576,7541,43,76
ccd,9760175,10497,132,306
cce,9982881,9812,315,591
ccf,9989947,10130,99,197
ccg,9794988,9521,276,416
cda,9957312,7962,107,186
cdb,9748043,11249,122,231
cdc,9792073,9111,34,117
cdd,9882723,8024,21,59
cde,9989413,9088,41,139
cdf,9960257,10255,69,114
cdg,9948261,8159,200,452
cea,9970107,8478,15,37
ceb,9915018,7749,49,106
cec,9877179,8420,211,406
ced,9799254,10226,144,255
cee,9973904,8743,128,300
cef,9307288,7454,25,54
ceg,9935160,8170,281,451
cfa,9917140,10326,138,231
cfb,9985389,8213,116,246
cfc,9744921,9068,140,269
cfd,9789236,9762,229,409
cfe,9869076,8130,507,1503
cff,9928330,9640,22,62
cfg,9958540,8453,339,516
cga,9812526,9153,68,127
cgb,9946574,9817,81,228
cgc,9911446,8008,203,328
cgd,9666853,8891,124,353
cge,9897713,11436,128,196
cgf,9902654,10783,30,104
cgg,9899914,7860,75,223
daa,9860961,9322,94,160
dab,9828296,7926,188,259
dac,9918002,9139,22,66
dad,9920581,10869,7,18
dae,9991879,6674,56,153
daf,9545970,8086,48,92
dag,9646860,8948,83,209
dba,9877611,9661,187,333
dbb,9971296,8977,37,100
dbc,9944069,6835,105,279
dbd,9740740,6686,19,47
dbe,9881323,8686,5,8
dbf,9960057,9485,15,51
dbg,9814978,10196,85,225
dca,9558110,9015,6,23
dcb,9761456,9169,47,123
dcc,9854073,8612,144,268
dcd,9702657,8297,69,156
dce,9965360,8567,78,138
dcf,9983395,8899,274,426
dcg,9983206,9860,217,295
dda,9929447,8419,246,448
ddb,9800491,10131,10,35
ddc,9788725,8633,148,247
ddd,9548440,9431,8,22
dde,9963240,7319,6,18
ddf,9909824,9750,79,298
ddg,9859964,9729,76,130
dea,9577491,8161,110,184
deb,9830092,7995,22,84
dec,9851820,9922,424,662
ded,9986724,9787,36,98
dee,9429507,11446,112,467
def,9969539,9719,116,362
deg,9931218,10857,267,386
dfa,9643393,9117,385,646
dfb,9877881,9496,86,263
dfc,9694546,7713,54,122
dfd,9859657,9609,131,282
dfe,9794448,8566,72,183
dff,9865514,9025,32,84
dfg,9952901,9992,77,132
dga,9790469,7748,25,57
dgb,9874668,9653,5,9
dgc,9579901,10048,30,61
dgd,9645317,8866,463,788
dge,9843479,9938,185,317
dgf,9969039,9143,249,351
dgg,9861394,9117,50,252
eaa,9577455,10347,46,167
eab,9870116,10394,29,52
eac,9926045,9587,183,269
ead,9812361,9719,87,198
eae,9999431,8495,11,42
eaf,9848736,9037,55,157
eag,9888413,9524,5,8
eba,9995189,8355,46,75
ebb,9894628,9137,150,258
ebc,9716566,9857,168,319
ebd,9902249,9215,183,298
ebe,9996694,10134,238,424
ebf,9926659,9489,30,77
ebg,9923568,8156,78,142
eca,9905852,9854,22,33
ecb,9509527,9380,8,19
ecc,8959964,10272,115,253
ecd,9960490,7857,115,328
ece,9985176,10671,147,300
ecf,9705389,7182,346,617
ecg,9909230,7224,53,102
eda,9923412,6499,40,58
edb,9996393,7320,38,98
edc,9716677,9332,50,174
edd,9781980,9599,191,240
ede,9779071,8056,13,38
edf,9858795,8877,186,315
edg,9990634,8783,148,320
eea,9971370,8797,197,254
eeb,9836717,9873,90,179
eec,9825483,8463,103,209
eed,9968192,8893,72,198
eee,9956937,8772,127,243
eef,9951992,8541,33,63
eeg,9956845,10720,74,225
efa,9959544,8570,91,256
efb,9919114,8025,104,254
efc,9777293,8708,53,140
efd,9958035,8233,5,10
efe,9846440,9527,160,238
eff,9856181,9971,154,251
efg,9885574,8617,125,299
ega,9930886,8615,67,160
egb,9782043,7989,62,157
egc,9337844,8737,80,194
egd,9805506,11538,234,398
ege,9945073,7743,111,180
egf,9553752,8855,141,268
egg,9999910,8252,140,316
faa,9688277,8712,139,298
fab,9728844,9419,26,66
fac,9758528,8481,74,191
fad,9800533,8671,148,252
fae,9950241,9853,99,247
faf,9985715,9756,45,131
fag,9936882,8833,26,68
fba,9986033,9758,60,193
fbb,9934322,10647,87,204
fbc,9933796,8114,35,90
fbd,9870439,7323,172,359
fbe,9983970,8475,56,106
fbf,9993332,8004,10,29
fbg,9796356,9586,269,578
fca,9937585,9863,152,392
fcb,9747336,9320,54,112
fcc,9991530,8381,83,113
fcd,9909522,8803,221,368
fce,9503698,8954,44,85
fcf,9799181,7745,151,225
fcg,9923496,8441,125,239
fda,9938679,10593,113,219
fdb,9905751,7239,314,473
fdc,9979771,7910,122,185
fdd,9986152,10110,121,249
fde,9899942,9037,134,303
fdf,9967636,8156,119,164
fdg,9830248,9054,207,386
fea,9278778,8487,182,321
feb,9927388,7810,123,249
fec,9620720,7930,104,203
fed,9871141,9144,24,100
fee,9783806,7512,18,38
fef,9941284,8238,65,130
feg,9945103,8449,55,177
ffa,9996502,10041,7,20
ffb,9852736,9044,51,145
ffc,9843952,8926,75,113
ffd,9753171,8605,24,77
ffe,9750406,9630,129,317
fff,9979298,8432,185,295
ffg,9753532,11194,173,279
fga,9939356,7531,6,21
fgb,9878625,8420,153,275
fgc,9939057,9772,108,197
fgd,9718542,10096,84,253
fge,9631177,8465,80,210
fgf,9671950,10480,28,104
fgg,9984157,8936,174,257
gaa,9787749,9371,95,177
gab,9862976,9287,137,202
gac,9850531,9421,391,629
gad,9964537,8383,64,95
gae,9959950,8674,280,421
gaf,9965787,8193,100,213
gag,9739168,9901,156,266
gba,9959786,9958,101,151
gbb,9981106,9225,255,453
gbc,9888341,9731,9,24
gbd,9899522,7085,54,138
gbe,9971274,8017,217,344
gbf,9154625,8580,52,146
gbg,9975201,8105,5,8
gca,9826215,7779,13,40
gcb,9810763,11049,148,392
gcc,9494597,7923,162,425
gcd,9930845,8257,128,207
gce,9757763,8784,118,265
gcf,9692458,9788,200,328
gcg,9975644,8422,48,94
gda,9716156,7337,299,401
gdb,9787998,9621,66,119
gdc,9769928,9751,7,26
gdd,9799313,9694,423,749
gde,9852493,7318,193,404
gdf,9601521,9757,422,1153
gdg,9965498,7865,5,6
gea,9045117,9213,104,282
geb,9946678,8659,58,231
gec,9808130,9440,5,9
ged,9755223,7011,95,205
gee,9910756,8725,143,308
gef,9898256,7253,207,291
geg,9657567,9700,44,108
gfa,9772066,9194,5,12
gfb,9999136,9701,97,155
gfc,9654912,10191,69,101
gfd,9827472,8293,49,75
gfe,9930676,11006,317,512
gff,9864135,7631,113,305
gfg,9790007,8478,25,47
gga,9994188,8321,179,338
ggb,9837529,9273,26,81
ggc,9926363,8868,283,483
ggd,9873248,8804,65,147
gge,9721221,10062,98,231
ggf,9825432,9969,39,130
ggg,9777853,9677,161,254
